epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,744.362,1.32499,2.01146,0.94747,1.18278,0.87251,0.80064,0.88784,0.55332,0.86826,0.79355,0.88023,0.51311,1.38339,1.89394,0.78695,1.3423,0.000144161,0.000144161,0.000144161
116,750.492,1.33257,2.06932,0.93212,1.17315,0.88662,0.79902,0.8894,0.55537,0.86538,0.78835,0.87723,0.51068,1.39713,1.88712,0.80259,1.35533,0.000137143,0.000137143,0.000137143
117,756.574,1.31205,1.99288,0.9026,1.15668,0.86269,0.82173,0.89339,0.55912,0.85078,0.80907,0.8812,0.516,1.39776,1.84415,0.79749,1.36267,0.000130287,0.000130287,0.000130287
118,762.584,1.32919,2.06229,0.94022,1.1836,0.89149,0.78187,0.89174,0.5705,0.88679,0.77539,0.8855,0.5423,1.32879,1.80581,0.76953,1.30072,0.000123596,0.000123596,0.000123596
119,768.937,1.29357,1.99745,0.90325,1.14961,0.85039,0.80957,0.88864,0.57144,0.8435,0.80267,0.87853,0.5334,1.34232,1.82546,0.79083,1.31032,0.000117072,0.000117072,0.000117072
120,775.016,1.30741,1.99624,0.90351,1.15489,0.83985,0.83114,0.88763,0.55957,0.82776,0.81876,0.87496,0.51332,1.40582,1.86329,0.80638,1.34791,0.000110718,0.000110718,0.000110718
121,781.116,1.30474,2.01144,0.90548,1.16313,0.83921,0.84161,0.89157,0.56653,0.82711,0.82909,0.87343,0.52417,1.36316,1.80484,0.78304,1.32238,0.000104537,0.000104537,0.000104537
122,787.225,1.29405,2.00144,0.91096,1.16804,0.84902,0.83053,0.88391,0.57009,0.83819,0.8168,0.86639,0.52976,1.3406,1.75798,0.77611,1.31118,9.85311e-05,9.85311e-05,9.85311e-05
123,793.302,1.33291,2.04492,0.943,1.18196,0.86069,0.81044,0.88494,0.55477,0.8549,0.79952,0.87138,0.52311,1.3916,1.83203,0.78406,1.35727,9.2704e-05,9.2704e-05,9.2704e-05
124,799.363,1.32053,1.97979,0.91504,1.17032,0.87139,0.80829,0.89132,0.55876,0.84946,0.80528,0.87902,0.52841,1.41281,1.85321,0.77273,1.38002,8.70577e-05,8.70577e-05,8.70577e-05
